Team_ID,Team_Name,Division,Ownership_Group
1,Atlanta Hawks,Southeast,"RDV Sports, Inc."
2,Boston Celtics,Atlantic,Boston Basketball Partners
3,Brooklyn Nets,Atlantic,Joseph Tsai
4,Charlotte Hornets,Southeast,Michael Jordan
5,Chicago Bulls,Central,Jerry Reinsdorf
6,Cleveland Cavaliers,Central,Dan Gilbert
7,Dallas Mavericks,Southwest,Mark Cuban
8,Denver Nuggets,Northwest,Kroenke Sports & Entertainment
9,Detroit Pistons,Central,Tom Gores
10,Golden State Warriors,Pacific,Joe Lacob
11,Houston Rockets,Southwest,Tilman Fertitta
12,Indiana Pacers,Central,Herbert Simon
13,Los Angeles Clippers,Pacific,Steve Ballmer
14,Los Angeles Lakers,Pacific,Jeanie Buss
15,Memphis Grizzlies,Southwest,"Memphis Basketball, LLC "
16,Miami Heat,Southeast,Micky Arison
17,Milwaukee Bucks,Central,Wes Edens
18,Minnesota Timberwolves,Northwest,Glen Taylor
19,New Orleans Pelicans,Southwest,Gayle Benson
20,New York Knicks,Atlantic,Madison Square Garden Sports
21,Oklahoma City Thunder,Northwest,Professional Basketball Club LLC
22,Orlando Magic,Southeast,"RDV Sports, Inc."
23,Philadelphia 76ers,Atlantic,Josh Harris
24,Phoenix Suns,Pacific,Robert Sarver
25,Portland Trail Blazers,Northwest,Paul G. Allen Trust
26,Sacramento Kings,Pacific,Vivek Ranadivé
27,San Antonio Spurs,Southwest,Spurs Sports & Entertainment
28,Toronto Raptors,Atlantic,Maple Leaf Sports & Entertainment
29,Utah Jazz,Northwest,Ryan Smith
30,Washington Wizards,Southeast,Monumental Sports & Entertainment
